Symbol,Date,Open,High,Low,Close,PrevClose,Change,PctChange,Volume,AvgVol20,RVOL,VWAP,VWAP_Pos,VWAP_Band,VWAP_Dist%,EMA9,EMA20,EMA50,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Cross,BB_Width%,BB_Pos,ATR,ADX,ADX_Trend,ADX_Dir,Supertrend,Breakout,Gap%,Gap_Type,Score,Label,ATR_Stop_L,ATR_Target_L,Vol_Spike
ADANIENT,01-09-2026,2910.0,2942.5,2846.0,2863.9,2859.1,4.8,0.17,3861581,1847381,2.09,2996.96,Below,Below -1σ,-4.44,3005.98,3023.75,3030.68,35.35,-14.93,-5.44,-9.4929,Bear,10.27,Inside,82.04,21.31,Weak Trend,Bear,Bear,Breakdown,1.78,Gap Up,65,Bull,2740.84,3027.98,Spike
ASIANPAINT,01-09-2026,2645.3,2645.3,2545.2,2575.5,2653.6,-78.1,-2.94,1046460,693323,1.51,2677.94,Below,Below -1σ,-3.83,2629.71,2658.41,2684.57,34.53,-28.01,-19.99,-8.0209,,8.66,Inside,54.37,20.25,Weak Trend,Bear,Bear,Breakdown,-0.31,No Gap,65,Bull,2493.95,2684.23,Spike
MARUTI,01-09-2026,13540.0,13540.0,12851.0,12950.0,13547.0,-597.0,-4.41,915695,305155,3.0,13684.79,Below,Below -1σ,-5.37,13453.15,13622.58,13669.43,30.27,-143.01,-68.27,-74.7365,,8.34,Below,257.81,20.58,Weak Trend,Bear,Bear,Breakdown,-0.05,No Gap,65,Bull,12563.28,13465.63,Spike
ADANIPOWER,01-09-2026,202.0,205.79,201.31,204.36,198.0,6.36,3.21,38024568,20409540,1.86,207.48,Below,Inside,-1.5,206.12,207.48,211.8,45.12,-2.03,-2.34,0.3077,,6.95,Inside,6.0,17.87,No Trend,Bear,Bear,,2.02,Gap Up,60,Bull,195.37,216.35,Spike
APLAPOLLO,01-09-2026,2228.7,2258.8,2214.0,2234.0,2223.4,10.6,0.48,642022,616877,1.04,2104.09,Above,Above +1σ,6.17,2183.3,2107.04,1984.8,75.8,87.47,79.69,7.7782,,17.54,Inside,49.84,56.32,Strong Trend,Bull,Bull,,0.24,No Gap,60,Bull,2159.24,2333.68,
BOSCHLTD,01-09-2026,49400.0,49400.0,47805.0,48550.0,50000.0,-1450.0,-2.9,53590,52690,1.02,46450.75,Above,Inside,4.52,48537.97,47071.77,44275.25,64.81,1803.53,1809.86,-6.3314,Bear,19.82,Inside,1109.17,53.16,Strong Trend,Bull,Bull,,-1.2,Gap Down,60,Bull,46886.25,50768.33,
DIVISLAB,01-09-2026,9251.5,9262.5,9087.0,9165.0,9467.0,-302.0,-3.19,485585,416617,1.17,8743.6,Above,Above +1σ,4.82,8999.41,8665.63,8021.39,70.12,395.82,367.03,28.7894,,15.09,Inside,200.69,66.4,Strong Trend,Bull,Bull,,-2.28,Gap Down,60,Bull,8863.96,9566.38,
GLENMARK,01-09-2026,2480.0,2494.9,2455.0,2470.4,2480.0,-9.6,-0.39,679495,521404,1.3,2359.69,Above,Above +1σ,4.69,2429.18,2368.03,2293.08,66.58,61.98,45.84,16.1384,,14.13,Inside,60.04,23.85,Weak Trend,Bull,Bull,,0.0,No Gap,60,Bull,2380.34,2590.48,
PERSISTENT,01-09-2026,5621.5,5852.5,5603.0,5800.0,5594.5,205.5,3.67,592756,457255,1.3,5613.31,Above,Above +1σ,3.33,5679.8,5585.32,5365.35,60.93,121.58,123.4,-1.8176,,8.09,Inside,164.68,19.91,No Trend,Bull,Bull,,0.48,No Gap,60,Bull,5552.99,6129.35,
POLICYBZR,01-09-2026,1845.0,1847.8,1812.1,1829.2,1875.0,-45.8,-2.44,1724174,1393476,1.24,1739.32,Above,Above +1σ,5.17,1813.96,1761.54,1680.8,64.09,59.55,54.1,5.4484,,18.08,Inside,49.94,52.86,Strong Trend,Bull,Bull,,-1.6,Gap Down,60,Bull,1754.29,1929.08,
