Symbol,Date,Open,High,Low,Close,PrevClose,Change,PctChange,Volume,AvgVol20,RVOL,VWAP,VWAP_Pos,VWAP_Band,VWAP_Dist%,EMA9,EMA20,EMA50,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Cross,BB_Width%,BB_Pos,ATR,ADX,ADX_Trend,ADX_Dir,Supertrend,Breakout,Gap%,Gap_Type,Score,Label,ATR_Stop_L,ATR_Target_L,Vol_Spike
HDFCAMC,01-09-2026,2580.5,2580.5,2526.0,2544.9,2622.1,-77.2,-2.94,936530,834241,1.12,2565.35,Below,Inside,-0.8,2590.55,2584.02,2580.05,46.09,4.44,1.24,3.2011,,8.81,Inside,64.56,13.99,No Trend,Bull,Bear,,-1.59,Gap Down,35,Bear,2448.06,2674.03,
HINDZINC,01-09-2026,604.15,608.95,593.05,597.0,595.45,1.55,0.26,5674108,7578428,0.75,595.1,Above,Inside,0.32,598.99,586.67,567.89,55.45,14.34,13.46,0.878,,12.83,Inside,19.0,25.31,Strong Trend,Bull,Bull,,1.46,Gap Up,35,Bear,568.5,635.0,
IDEA,01-09-2026,14.6,14.63,13.96,14.06,14.33,-0.27,-1.88,316410646,418715644,0.76,13.92,Above,Inside,1.02,14.37,14.08,13.88,51.28,0.29,0.24,0.0548,,22.01,Inside,0.47,31.91,Strong Trend,Bull,Bull,,1.88,Gap Up,35,Bear,13.36,15.0,
INDUSTOWER,01-09-2026,386.0,386.2,373.0,375.0,388.8,-13.8,-3.55,5557992,5318067,1.05,378.75,Below,Inside,-0.99,379.64,381.03,388.24,44.79,-2.75,-3.89,1.1375,,6.69,Inside,9.92,23.83,Weak Trend,Bear,Bear,,-0.72,Gap Down,35,Bear,360.13,394.83,
JINDALSTEL,01-09-2026,1175.7,1175.7,1147.0,1160.0,1192.9,-32.9,-2.76,517590,795669,0.65,1132.21,Above,Inside,2.45,1158.97,1135.45,1110.52,59.4,24.79,20.15,4.6384,,10.92,Inside,27.43,30.42,Strong Trend,Bull,Bull,,-1.44,Gap Down,35,Bear,1118.85,1214.86,
JSWSTEEL,01-09-2026,1314.6,1328.0,1307.1,1313.5,1307.7,5.8,0.44,1134113,1714479,0.66,1305.44,Above,Inside,0.62,1315.34,1302.48,1283.64,55.49,14.78,13.62,1.16,,7.24,Inside,25.18,31.05,Strong Trend,Bull,Bull,,0.53,Gap Up,35,Bear,1275.72,1363.87,
LICHSGFIN,01-09-2026,538.4,538.4,526.35,534.9,538.4,-3.5,-0.65,2000062,2743525,0.73,513.43,Above,Above +1σ,4.18,523.73,519.17,525.95,58.89,0.8,-4.97,5.7743,,11.46,Inside,11.91,24.75,Weak Trend,Bull,Bull,,0.0,No Gap,35,Bear,517.03,558.73,
MAXHEALTH,01-09-2026,1022.0,1022.0,1000.2,1003.0,1042.1,-39.1,-3.75,2828705,2030094,1.39,1019.88,Below,Inside,-1.65,1014.18,1026.51,1046.53,41.2,-16.9,-19.7,2.7972,,10.92,Inside,27.58,28.44,Strong Trend,Bull,Bear,,-1.93,Gap Down,35,Bear,961.64,1058.15,
NMDC,01-09-2026,86.81,87.4,85.1,85.69,88.2,-2.51,-2.85,11310649,19202032,0.59,85.43,Above,Inside,0.31,86.22,85.68,85.62,50.53,0.47,0.26,0.2124,,5.6,Inside,2.16,15.72,No Trend,Bull,Bull,,-1.58,Gap Down,35,Bear,82.45,90.01,
OFSS,01-09-2026,12350.0,12353.0,11992.0,12187.0,12540.0,-353.0,-2.81,208317,217950,0.96,11868.01,Above,Above +1σ,2.69,12015.22,11814.5,11346.27,59.96,229.81,194.28,35.5239,,8.08,Inside,367.64,13.3,No Trend,Bull,Bull,,-1.52,Gap Down,35,Bear,11635.54,12922.28,
PETRONET,01-09-2026,294.1,296.65,290.4,292.3,300.6,-8.3,-2.76,1081023,1989918,0.54,287.03,Above,Inside,1.84,292.12,288.23,282.82,56.61,4.19,3.51,0.68,,9.4,Inside,6.39,31.11,Strong Trend,Bull,Bull,,-2.16,Gap Down,35,Bear,282.72,305.08,
SOLARINDS,01-09-2026,20250.0,20270.0,19930.0,20060.0,20108.0,-48.0,-0.24,94048,152082,0.62,19801.8,Above,Inside,1.3,20060.08,19705.32,19047.15,58.86,431.74,427.26,4.4811,,14.01,Inside,508.04,17.22,No Trend,Bull,Bull,,0.71,Gap Up,35,Bear,19297.94,21076.08,
ZYDUSLIFE,01-09-2026,1167.3,1183.0,1152.0,1167.8,1161.3,6.5,0.56,1070386,1741945,0.61,1155.4,Above,Inside,1.07,1155.46,1144.36,1131.95,56.37,10.08,5.37,4.7016,,11.44,Inside,30.51,17.77,No Trend,Bull,Bull,,0.52,Gap Up,35,Bear,1122.03,1228.82,
HDFCLIFE,01-09-2026,540.0,544.25,537.4,540.3,543.35,-3.05,-0.56,3064024,2820934,1.09,543.05,Below,Inside,-0.51,545.23,546.04,550.86,44.19,-1.86,-2.67,0.804,,4.23,Inside,9.61,14.64,No Trend,Bear,Bear,,-0.62,Gap Down,32,Bear,525.88,559.52,
TORNTPHARM,01-09-2026,4973.5,4987.5,4919.5,4965.5,5066.0,-100.5,-1.98,204661,349433,0.59,4945.51,Above,Inside,0.4,4978.41,4956.53,4872.78,51.75,27.65,24.41,3.2421,,4.87,Inside,113.22,17.84,No Trend,Bull,Bull,,-1.83,Gap Down,32,Bear,4795.67,5191.94,
ABB,01-09-2026,7521.5,7524.5,7331.5,7396.0,7638.5,-242.5,-3.17,253174,171452,1.48,7590.18,Below,Below -1σ,-2.56,7525.91,7520.6,7378.37,45.82,33.78,61.34,-27.5553,,5.34,Inside,191.56,26.32,Strong Trend,Bull,Bull,,-1.53,Gap Down,30,Bear,7108.66,7779.13,
BHARTIARTL,01-09-2026,1852.0,1877.2,1848.5,1877.2,1811.9,65.3,3.6,9899659,7379156,1.34,1926.2,Below,Below -1σ,-2.54,1891.48,1913.06,1905.98,44.14,-15.31,-2.64,-12.6733,,8.4,Inside,38.91,25.19,Strong Trend,Bear,Bear,,2.21,Gap Up,30,Bear,1818.84,1955.02,
CIPLA,01-09-2026,1420.9,1425.7,1406.5,1423.0,1409.2,13.8,0.98,880086,760489,1.16,1441.39,Below,Inside,-1.28,1423.27,1431.72,1430.3,46.34,-7.02,-3.62,-3.3992,,5.81,Inside,22.58,17.49,No Trend,Bear,Bear,,0.83,Gap Up,30,Bear,1389.13,1468.15,
IOC,01-09-2026,136.34,137.9,135.15,136.53,139.13,-2.6,-1.87,9534627,8128310,1.17,139.18,Below,Below -1σ,-1.91,137.96,138.76,139.51,42.59,-0.88,-0.77,-0.1007,,6.9,Inside,2.59,11.65,No Trend,Bear,Bear,,-2.01,Gap Down,30,Bear,132.65,141.71,
KALYANKJIL,01-09-2026,609.45,614.6,569.05,573.0,601.0,-28.0,-4.66,13217657,11935155,1.11,601.92,Below,Below -1σ,-4.8,602.12,596.89,545.41,45.49,14.05,21.37,-7.3204,,8.7,Below,22.03,27.91,Strong Trend,Bear,Bull,,1.41,Gap Up,30,Bear,539.95,617.07,
LODHA,01-09-2026,1214.9,1231.8,1180.0,1193.9,1198.6,-4.7,-0.39,1844586,1270047,1.45,1236.07,Below,Below -1σ,-3.41,1232.88,1228.75,1164.99,45.89,14.94,24.66,-9.7146,,8.11,Inside,40.74,29.38,Strong Trend,Bear,Bull,,1.36,Gap Up,30,Bear,1132.78,1275.39,
LTM,01-09-2026,4540.0,4648.4,4514.9,4625.0,4540.0,85.0,1.87,265043,390337,0.68,4618.23,Above,Inside,0.15,4569.56,4535.73,4353.44,56.98,68.75,95.24,-26.4888,,10.02,Inside,133.84,23.54,Weak Trend,Bull,Bull,,0.0,No Gap,30,Bear,4424.24,4892.68,
M&M,01-09-2026,3367.0,3368.0,3223.0,3259.0,3282.0,-23.0,-0.7,1887143,1827890,1.03,3410.56,Below,Below -1σ,-4.44,3344.28,3358.64,3283.03,40.07,8.08,37.15,-29.0727,,7.35,Below,70.48,25.05,Strong Trend,Bear,Bear,,2.59,Gap Up,30,Bear,3153.28,3399.96,
MOTHERSON,01-09-2026,170.0,170.0,163.3,165.6,170.68,-5.08,-2.98,14095049,19740846,0.71,165.15,Above,Inside,0.27,167.08,164.61,157.41,55.72,3.83,4.74,-0.9118,,10.48,Inside,4.2,33.06,Strong Trend,Bull,Bull,,-0.4,No Gap,30,Bear,159.29,174.01,
NESTLEIND,01-09-2026,1514.8,1514.8,1436.0,1438.2,1496.5,-58.3,-3.9,2554784,1718817,1.49,1488.57,Below,Below -1σ,-3.38,1465.25,1473.27,1467.36,42.12,-5.1,-0.26,-4.8404,,7.99,Inside,35.7,18.05,No Trend,Bull,Bear,,1.22,Gap Up,30,Bear,1384.65,1509.6,
OBEROIRLTY,01-09-2026,1856.3,1887.2,1846.6,1880.7,1868.0,12.7,0.68,211010,493333,0.43,1863.66,Above,Inside,0.91,1871.79,1860.31,1821.59,55.61,14.75,14.76,-0.016,,9.3,Inside,44.22,21.19,Weak Trend,Bull,Bull,,-0.63,Gap Down,30,Bear,1814.38,1969.13,
PAYTM,01-09-2026,1689.0,1698.6,1616.3,1633.5,1717.1,-83.6,-4.87,2746785,4861738,0.56,1596.21,Above,Inside,2.34,1653.9,1591.16,1442.97,58.83,82.57,87.83,-5.2663,Bear,20.76,Inside,57.84,47.44,Strong Trend,Bull,Bull,,-1.64,Gap Down,30,Bear,1546.73,1749.19,
RADICO,01-09-2026,4481.4,4540.0,4393.4,4474.3,4485.0,-10.7,-0.24,473782,320405,1.48,4580.84,Below,Below -1σ,-2.33,4568.72,4538.94,4312.38,48.6,75.02,116.93,-41.9073,,6.86,Inside,98.83,49.98,Strong Trend,Bear,Bull,,-0.08,No Gap,30,Bear,4326.06,4671.95,
SBICARD,01-09-2026,653.2,660.35,628.4,632.4,644.75,-12.35,-1.92,3435773,3174671,1.08,646.09,Below,Below -1σ,-2.12,643.05,643.61,633.99,45.51,1.18,2.96,-1.7785,,7.71,Inside,18.55,18.81,No Trend,Bull,Bear,,1.31,Gap Up,30,Bear,604.57,669.5,
SHRIRAMFIN,01-09-2026,1099.0,1099.0,1050.6,1059.1,1109.9,-50.8,-4.58,5670625,3978915,1.43,1117.47,Below,Below -1σ,-5.22,1100.71,1100.91,1066.58,42.36,7.73,16.74,-9.0177,,6.7,Below,30.82,21.74,Weak Trend,Bear,Bear,,-0.98,Gap Down,30,Bear,1012.86,1120.75,
SIEMENS,01-09-2026,4029.9,4093.2,3975.1,4030.0,4030.0,0.0,0.0,317161,409410,0.77,4011.57,Above,Inside,0.46,4031.1,3971.37,3839.53,58.92,78.16,82.64,-4.4848,,6.88,Inside,97.87,30.61,Strong Trend,Bull,Bull,,-0.0,No Gap,30,Bear,3883.19,4225.75,
SUPREMEIND,01-09-2026,3570.0,3661.4,3563.3,3605.0,3559.0,46.0,1.29,169636,198946,0.85,3565.22,Above,Inside,1.12,3588.11,3556.66,3501.71,56.27,40.53,43.4,-2.873,,7.77,Inside,88.3,23.97,Weak Trend,Bull,Bull,,0.31,No Gap,30,Bear,3472.55,3781.6,
TCS,01-09-2026,2355.0,2372.0,2325.0,2369.0,2399.3,-30.3,-1.26,2677188,2730811,0.98,2350.4,Above,Inside,0.79,2331.81,2326.62,2283.36,55.43,10.67,12.3,-1.6289,,10.23,Inside,61.98,15.19,No Trend,Bull,Bull,,-1.85,Gap Down,30,Bear,2276.03,2492.96,
TECHM,01-09-2026,1630.0,1649.0,1613.7,1638.0,1628.0,10.0,0.61,2412013,2567871,0.94,1625.31,Above,Inside,0.78,1613.66,1606.58,1571.16,59.71,11.77,13.32,-1.5545,,6.16,Inside,36.73,17.73,No Trend,Bull,Bull,,0.12,No Gap,30,Bear,1582.9,1711.46,
UNIONBANK,01-09-2026,185.0,186.32,183.26,184.9,188.63,-3.73,-1.98,6999946,11383456,0.61,184.52,Above,Inside,0.21,185.79,183.57,178.18,55.15,3.1,3.52,-0.429,,6.38,Inside,4.69,34.06,Strong Trend,Bull,Bull,,-1.92,Gap Down,30,Bear,177.87,194.28,
ASHOKLEY,01-09-2026,176.5,176.5,168.53,170.53,175.64,-5.11,-2.91,16855875,16560429,1.02,175.63,Below,Below -1σ,-2.9,174.53,172.91,166.13,48.73,2.83,3.75,-0.917,,4.93,Below,4.4,22.14,Weak Trend,Bear,Bull,,0.49,No Gap,27,Bear,163.94,179.32,
GRASIM,01-09-2026,3337.0,3337.0,3287.1,3305.0,3371.0,-66.0,-1.96,818427,1172825,0.7,3291.86,Above,Inside,0.4,3300.96,3274.14,3216.63,55.08,34.05,34.8,-0.753,Bear,4.95,Inside,73.3,24.52,Weak Trend,Bull,Bull,,-1.01,Gap Down,27,Bear,3195.04,3451.61,
NHPC,01-09-2026,76.72,77.1,75.46,76.3,76.72,-0.42,-0.55,11982237,8768715,1.37,77.04,Below,Below -1σ,-0.96,76.33,76.82,77.08,45.48,-0.56,-0.55,-0.0147,,3.68,Inside,1.48,17.56,No Trend,Bear,Bear,,0.0,No Gap,27,Bear,74.08,79.25,
PIDILITIND,01-09-2026,1675.0,1675.5,1637.5,1643.5,1687.7,-44.2,-2.62,990152,952321,1.04,1666.08,Below,Below -1σ,-1.36,1656.27,1653.24,1624.81,49.25,8.51,13.47,-4.9528,,4.68,Inside,34.0,16.42,No Trend,Bull,Bull,,-0.75,Gap Down,27,Bear,1592.51,1711.49,
PRESTIGE,01-09-2026,1597.1,1597.1,1548.2,1570.0,1633.0,-63.0,-3.86,701645,502559,1.4,1598.56,Below,Below -1σ,-1.79,1604.8,1607.91,1585.24,44.19,-1.56,-0.05,-1.5119,Bear,4.98,Inside,49.6,18.18,No Trend,Bear,Bear,,-2.2,Gap Down,27,Bear,1495.6,1669.2,
RBLBANK,01-09-2026,379.55,383.75,377.8,380.5,380.35,0.15,0.04,2288691,2113667,1.08,386.4,Below,Below -1σ,-1.53,383.32,382.84,377.11,48.74,1.87,3.34,-1.4746,,4.32,Inside,7.28,14.41,No Trend,Bear,Bull,,-0.21,No Gap,27,Bear,369.58,395.06,
COLPAL,01-09-2026,1872.5,1873.0,1842.0,1859.8,1897.6,-37.8,-1.99,374264,347302,1.08,1918.42,Below,Inside,-3.06,1879.2,1924.2,1983.12,36.58,-50.23,-45.37,-4.8579,,14.51,Inside,41.88,30.48,Strong Trend,Bear,Bear,,-1.32,Gap Down,25,Bear,1796.98,1943.56,
GMRAIRPORT,01-09-2026,95.5,96.3,93.08,94.12,93.63,0.49,0.52,19746087,13223882,1.49,100.0,Below,Below -1σ,-5.88,97.73,100.6,103.67,23.47,-3.01,-2.4,-0.6128,,15.1,Inside,2.44,33.39,Strong Trend,Bear,Bear,,2.0,Gap Up,25,Bear,90.46,99.0,
HAVELLS,01-09-2026,1229.0,1229.0,1212.2,1222.8,1244.1,-21.3,-1.71,1005778,800410,1.26,1267.67,Below,Below -1σ,-3.54,1248.6,1255.86,1236.53,39.83,-0.4,9.23,-9.6271,,7.1,Below,28.78,21.91,Weak Trend,Bear,Bear,,-1.21,Gap Down,25,Bear,1179.63,1280.36,
IEX,01-09-2026,120.5,120.5,118.8,119.2,120.5,-1.3,-1.08,2633211,2268779,1.16,124.35,Below,Below -1σ,-4.14,121.93,123.47,123.74,33.83,-1.28,-0.63,-0.6564,,8.22,Below,2.31,22.41,Weak Trend,Bear,Bear,,0.0,No Gap,25,Bear,115.74,123.81,
IRFC,01-09-2026,83.34,83.75,82.16,82.5,83.34,-0.84,-1.01,7764806,6831263,1.14,86.49,Below,Below -1σ,-4.62,84.6,86.0,88.36,25.31,-1.5,-1.18,-0.3202,,8.81,Below,1.43,40.08,Strong Trend,Bear,Bear,,0.0,No Gap,25,Bear,80.36,85.36,
JSWENERGY,01-09-2026,524.0,526.6,514.45,518.0,520.4,-2.4,-0.46,2289901,1792649,1.28,546.95,Below,Below -1σ,-5.29,535.46,544.2,551.85,28.57,-7.92,-4.44,-3.4829,,10.55,Below,11.56,14.43,No Trend,Bear,Bear,,0.69,Gap Up,25,Bear,500.66,541.11,
LICI,01-09-2026,418.85,418.9,409.95,412.15,418.0,-5.85,-1.4,3608902,19097403,0.19,404.46,Above,Inside,1.9,416.44,415.87,416.1,46.75,-0.02,-0.77,0.7486,,10.3,Inside,9.52,14.16,No Trend,Bear,Bear,,0.2,No Gap,25,Bear,397.88,431.18,
LUPIN,01-09-2026,2190.2,2190.2,2137.6,2153.0,2188.4,-35.4,-1.62,1297780,1060463,1.22,2266.05,Below,Below -1σ,-4.99,2187.15,2236.63,2297.09,29.96,-56.81,-53.45,-3.3582,,12.63,Inside,44.92,35.78,Strong Trend,Bear,Bear,,0.08,No Gap,25,Bear,2085.62,2242.84,
RECLTD,01-09-2026,318.4,318.4,313.0,314.05,323.3,-9.25,-2.86,6496397,6340745,1.02,337.38,Below,Below -1σ,-6.92,323.84,333.84,345.03,28.22,-10.63,-8.84,-1.7897,,18.06,Inside,7.89,43.95,Strong Trend,Bear,Bear,,-1.52,Gap Down,25,Bear,302.21,329.84,
YESBANK,01-09-2026,22.51,22.52,21.94,22.1,22.83,-0.73,-3.2,63724057,50116652,1.27,22.63,Below,Below -1σ,-2.35,22.45,22.63,22.94,39.88,-0.22,-0.21,-0.0136,Bear,4.64,Below,0.43,13.19,No Trend,Bear,Bear,,-1.4,Gap Down,22,Bear,21.45,22.96,
ASTRAL,01-09-2026,1537.5,1538.0,1493.1,1507.0,1522.2,-15.2,-1.0,726318,1555875,0.47,1542.61,Below,Inside,-2.31,1522.42,1507.61,1482.15,52.17,20.54,24.17,-3.6344,,12.41,Inside,36.46,28.34,Strong Trend,Bull,Bull,,1.01,Gap Up,20,Bear,1452.31,1579.92,
AUBANK,01-09-2026,1083.8,1088.8,1067.6,1079.2,1086.2,-7.0,-0.64,1068642,1690777,0.63,1090.6,Below,Inside,-1.05,1090.03,1082.56,1057.2,50.94,11.85,15.08,-3.2328,,6.75,Inside,24.24,28.32,Strong Trend,Bull,Bull,,-0.22,No Gap,20,Bear,1042.84,1127.68,
CONCOR,01-09-2026,516.9,518.75,510.5,514.0,511.9,2.1,0.41,1247573,1575588,0.79,517.28,Below,Inside,-0.63,513.02,512.23,499.53,52.34,3.16,5.32,-2.1638,,6.51,Inside,13.05,21.04,Weak Trend,Bear,Bull,,0.98,Gap Up,20,Bear,494.43,540.1,
DIXON,01-09-2026,14780.0,14820.0,14450.0,14461.0,14850.0,-389.0,-2.62,229809,355083,0.65,14467.14,Below,Inside,-0.04,14623.15,14431.34,13816.89,53.32,266.79,290.65,-23.862,Bear,9.5,Inside,368.99,23.13,Weak Trend,Bull,Bull,,-0.47,No Gap,20,Bear,13907.51,15198.98,
JUBLFOOD,01-09-2026,487.0,492.5,481.3,484.4,496.0,-11.6,-2.34,685195,3455252,0.2,493.74,Below,Inside,-1.89,496.35,489.55,467.12,50.57,11.57,15.49,-3.9197,,8.57,Inside,14.99,47.45,Strong Trend,Bull,Bull,,-1.81,Gap Down,20,Bear,461.91,514.38,
PNB,01-09-2026,114.49,116.5,114.07,115.22,114.23,0.99,0.87,10967579,13142933,0.83,116.05,Below,Inside,-0.71,115.61,115.15,112.64,52.99,1.04,1.57,-0.536,,5.41,Inside,2.08,20.36,Weak Trend,Bull,Bull,,0.23,No Gap,20,Bear,112.09,119.39,
WIPRO,01-09-2026,181.0,182.1,178.5,181.7,184.5,-2.8,-1.52,6810762,7835620,0.87,182.31,Below,Inside,-0.33,181.02,181.17,180.37,51.31,0.02,0.18,-0.1589,,6.72,Inside,3.9,15.0,No Trend,Bull,Bull,,-1.9,Gap Down,20,Bear,175.85,189.5,
HYUNDAI,01-09-2026,2227.0,2260.0,2156.2,2179.8,2205.0,-25.2,-1.14,604623,649307,0.93,2223.39,Below,Below -1σ,-1.96,2217.64,2193.62,2111.35,51.27,38.72,48.8,-10.0816,,4.46,Inside,53.98,33.2,Strong Trend,Bear,Bull,,1.0,Gap Up,17,Strong Bear,2098.82,2287.77,
IDFCFIRSTB,01-09-2026,85.2,85.2,84.1,84.9,85.97,-1.07,-1.24,11578556,11764897,0.98,85.17,Below,Inside,-0.32,84.9,84.73,82.67,52.42,0.53,0.84,-0.3079,,4.05,Inside,1.62,33.14,Strong Trend,Bull,Bull,,-0.9,Gap Down,17,Strong Bear,82.47,88.14,
SONACOMS,01-09-2026,815.0,821.5,798.55,809.5,813.05,-3.55,-0.44,1041115,2017514,0.52,811.02,Below,Inside,-0.19,810.97,798.73,747.91,59.91,20.6,26.05,-5.4542,,4.85,Inside,20.64,59.75,Strong Trend,Bull,Bull,,0.24,No Gap,17,Strong Bear,778.54,850.78,
TITAN,01-09-2026,5104.0,5126.5,5010.5,5050.0,5102.4,-52.4,-1.03,466842,829070,0.56,5054.55,Below,Inside,-0.09,5094.21,5038.39,4821.15,56.49,88.88,108.43,-19.5545,,4.74,Inside,80.69,51.48,Strong Trend,Bull,Bull,,0.03,No Gap,17,Strong Bear,4928.96,5211.38,
DELHIVERY,01-09-2026,462.65,464.35,457.2,460.8,456.2,4.6,1.01,1174990,3059145,0.38,465.92,Below,Inside,-1.1,458.4,461.22,464.83,48.43,-4.31,-5.62,1.3146,,8.65,Inside,11.61,16.48,No Trend,Bull,Bear,,1.41,Gap Up,15,Strong Bear,443.38,484.02,
MFSL,01-09-2026,1558.8,1561.1,1525.0,1534.7,1573.1,-38.4,-2.44,302527,755149,0.4,1542.84,Below,Inside,-0.53,1563.39,1557.47,1562.25,45.45,5.21,4.2,1.0026,,8.28,Inside,36.81,16.86,No Trend,Bear,Bear,,-0.91,Gap Down,15,Strong Bear,1479.48,1608.33,
MUTHOOTFIN,01-09-2026,3000.0,3009.2,2890.0,2905.0,2978.1,-73.1,-2.45,750754,1046234,0.72,2993.85,Below,Inside,-2.97,3023.71,3006.45,2993.67,43.02,17.31,15.3,2.0054,,16.09,Inside,92.86,14.83,No Trend,Bear,Bear,,0.74,Gap Up,15,Strong Bear,2765.7,3090.73,
VEDL,01-09-2026,280.0,281.95,272.75,274.0,278.2,-4.2,-1.51,6762844,14042295,0.48,277.02,Below,Inside,-1.09,277.73,275.3,276.49,49.39,2.08,1.25,0.8301,,9.65,Inside,8.35,20.99,Weak Trend,Bull,Bear,,0.65,Gap Up,15,Strong Bear,261.48,290.7,
VMM,01-09-2026,112.0,113.0,106.3,106.55,110.64,-4.09,-3.7,13954960,16770910,0.83,110.09,Below,Below -1σ,-3.21,108.1,108.34,110.82,45.65,-0.74,-1.19,0.4496,,11.25,Inside,3.56,22.87,Weak Trend,Bull,Bear,,1.23,Gap Up,15,Strong Bear,101.21,113.67,
APOLLOHOSP,01-09-2026,8854.5,8867.5,8704.5,8755.0,8898.5,-143.5,-1.61,153239,416071,0.37,8791.94,Below,Inside,-0.42,8803.43,8807.68,8774.28,47.52,-3.6,-5.35,1.75,,4.82,Inside,153.61,19.84,No Trend,Bear,Bear,,-0.49,No Gap,12,Strong Bear,8524.59,9062.21,
DRREDDY,01-09-2026,1166.5,1179.9,1166.5,1171.0,1154.4,16.6,1.44,556175,1640508,0.34,1182.89,Below,Inside,-1.0,1175.38,1181.73,1207.42,44.31,-9.64,-10.58,0.939,,4.77,Inside,22.13,24.78,Weak Trend,Bear,Bear,,1.05,Gap Up,12,Strong Bear,1137.8,1215.27,
MANKIND,01-09-2026,2381.4,2381.4,2350.0,2356.5,2419.2,-62.7,-2.59,282934,341061,0.83,2401.02,Below,Below -1σ,-1.85,2390.56,2411.59,2437.75,40.3,-25.97,-27.11,1.1393,,4.47,Inside,53.25,17.3,No Trend,Bear,Bear,,-1.56,Gap Down,12,Strong Bear,2276.62,2463.01,
SRF,01-09-2026,2563.0,2600.0,2558.2,2592.0,2560.4,31.6,1.23,104998,271572,0.39,2598.12,Below,Inside,-0.24,2586.45,2605.11,2653.98,45.12,-27.17,-31.76,4.5917,,3.36,Inside,46.2,25.07,Strong Trend,Bear,Bear,,0.1,No Gap,12,Strong Bear,2522.69,2684.41,
ABCAPITAL,01-09-2026,404.5,404.85,390.3,394.45,409.4,-14.95,-3.65,2578342,3049389,0.85,407.27,Below,Below -1σ,-3.15,405.65,405.99,397.86,42.34,1.04,2.49,-1.4584,,7.08,Inside,9.93,13.77,No Trend,Bear,Bear,,-1.2,Gap Down,10,Strong Bear,379.55,414.32,
ANGELONE,01-09-2026,286.9,288.25,280.5,281.55,286.9,-5.35,-1.86,2908488,5107714,0.57,291.95,Below,Below -1σ,-3.56,290.39,294.33,306.51,34.87,-5.78,-6.53,0.7525,,6.56,Below,9.02,29.86,Strong Trend,Bear,Bear,,0.0,No Gap,10,Strong Bear,268.03,299.58,
BAJAJFINSV,01-09-2026,1998.7,2004.1,1960.1,1972.0,2021.0,-49.0,-2.42,788337,932811,0.85,2030.28,Below,Below -1σ,-2.87,2004.25,1999.61,1936.84,46.71,16.19,26.68,-10.4855,,5.06,Inside,38.18,25.15,Strong Trend,Bear,Bull,,-1.1,Gap Down,10,Strong Bear,1914.73,2048.36,
BAJFINANCE,01-09-2026,1065.0,1067.0,1047.0,1053.9,1057.0,-3.1,-0.29,4813094,5251140,0.92,1092.88,Below,Below -1σ,-3.57,1074.93,1079.62,1051.03,42.52,1.59,9.15,-7.5614,,8.57,Inside,22.59,18.59,No Trend,Bear,Bull,,0.76,Gap Up,10,Strong Bear,1020.01,1099.09,
BHARATFORG,01-09-2026,2076.0,2076.1,2040.0,2052.2,2104.9,-52.7,-2.5,976076,1290274,0.76,2098.01,Below,Inside,-2.18,2061.56,2082.28,2091.09,45.15,-22.65,-21.33,-1.3135,,11.95,Inside,54.64,24.58,Weak Trend,Bear,Bear,,-1.37,Gap Down,10,Strong Bear,1970.24,2161.48,
BLUESTARCO,01-09-2026,1471.0,1499.0,1457.0,1490.9,1463.8,27.1,1.85,259652,602671,0.43,1531.21,Below,Inside,-2.63,1493.25,1522.66,1569.24,39.88,-36.35,-37.22,0.8705,Bull,10.78,Inside,38.28,22.46,Weak Trend,Bear,Bear,,0.49,No Gap,10,Strong Bear,1433.48,1567.46,
BSE,01-09-2026,3300.0,3305.0,3220.5,3242.0,3282.0,-40.0,-1.22,3135325,4741834,0.66,3396.59,Below,Below -1σ,-4.55,3319.41,3387.54,3546.08,36.54,-87.67,-90.15,2.4818,,13.18,Inside,103.17,22.54,Weak Trend,Bear,Bear,,0.55,Gap Up,10,Strong Bear,3087.24,3448.35,
CAMS,01-09-2026,782.95,783.0,750.25,752.0,782.0,-30.0,-3.84,1008475,1313148,0.77,769.27,Below,Inside,-2.25,758.97,764.64,769.55,44.41,-6.53,-6.46,-0.0701,Bear,10.05,Inside,19.32,17.77,No Trend,Bull,Bear,,0.12,No Gap,10,Strong Bear,723.03,790.63,
CANBK,01-09-2026,126.88,127.07,125.16,125.6,126.9,-1.3,-1.02,9830664,14198351,0.69,129.62,Below,Below -1σ,-3.1,127.94,128.45,128.85,40.37,-0.28,0.19,-0.4669,,5.36,Below,2.57,11.18,No Trend,Bear,Bear,,-0.02,No Gap,10,Strong Bear,121.75,130.74,
COCHINSHIP,01-09-2026,1509.9,1513.4,1465.5,1475.9,1510.0,-34.1,-2.26,404423,1072690,0.38,1497.44,Below,Inside,-1.44,1507.75,1493.31,1465.84,48.06,18.73,20.46,-1.7249,Bear,7.42,Inside,35.69,14.02,No Trend,Bear,Bull,,-0.01,No Gap,10,Strong Bear,1422.36,1547.29,
FEDERALBNK,01-09-2026,350.0,351.75,348.0,349.25,356.7,-7.45,-2.09,3391183,4631632,0.73,352.72,Below,Inside,-0.98,350.93,351.83,345.24,48.54,0.45,1.95,-1.5025,,5.55,Inside,7.4,31.05,Strong Trend,Bull,Bull,,-1.88,Gap Down,10,Strong Bear,338.15,364.05,
